term_a,term_b,co_doc_count,pmi,tscore,score
亚当,禁果,4,4.624038670292484,1.980373831775701,0.8493501530219763
亚当,蛇,3,4.518678154634658,1.7131655183897774,0.8295483169905393
乃是,阿米,3,4.490507277667962,1.7126259386989462,0.8274426272281541
乃是,我来,3,4.490507277667962,1.7126259386989462,0.8274426272281541
我来,观点,3,4.490507277667962,1.7126259386989462,0.8274426272281541
世上,乃是,3,4.490507277667962,1.7126259386989462,0.8274426272281541
世上,我来,3,4.490507277667962,1.7126259386989462,0.8274426272281541
世上,父母,3,4.490507277667962,1.7126259386989462,0.8274426272281541
世上,观点,3,4.490507277667962,1.7126259386989462,0.8274426272281541
我来,父母,3,4.490507277667962,1.7126259386989462,0.8274426272281541
父母,观点,3,4.490507277667962,1.7126259386989462,0.8274426272281541
乃是,观点,3,4.490507277667962,1.7126259386989462,0.8274426272281541
乃是,父母,3,4.490507277667962,1.7126259386989462,0.8274426272281541
女,男,3,4.336356597840706,1.7093884605539575,0.8159075065962154
微博,转发,5,4.241046418036382,2.203885316889045,0.8311045491412281
传统,砸,3,4.085042169559804,1.7029135042639802,0.7970477809740126
红领巾,阿米,3,4.085042169559804,1.7029135042639802,0.7970477809740126
圣母,婊,13,4.085042169559804,3.544897141858053,0.8798876412614991
世俗,张角,3,4.085042169559804,1.7029135042639802,0.7970477809740126
业务,记得,3,4.066693030891608,1.702373924573149,0.7956677765878613
一点,业务,3,4.066693030891608,1.702373924573149,0.7956677765878613
异端,阿米,6,4.030974948289529,2.40599413052815,0.8246727609928342
加尔文,红领巾,5,3.989731989755481,2.194690271000261,0.8121224924419543
傻,逻辑,3,3.9796816539019795,1.699676026118992,0.7891175526295433
意志,自由,3,3.9796816539019795,1.699676026118992,0.7891175526295433
业务,见,3,3.9796816539019795,1.699676026118992,0.7891175526295433
乃是,念,3,3.9796816539019795,1.699676026118992,0.7891175526295433
受,影响,3,3.9151431327644097,1.6975177073556662,0.7842520165222693
教育,社会,5,3.9027206127658527,2.1909286613184853,0.8055244300079389
业务,写,3,3.899638946228445,1.6969781276648346,0.7830822132324717
回到,记得,3,3.8843714740976565,1.6964385479740034,0.7819298997369407
一点,回到,3,3.8843714740976565,1.6964385479740034,0.7819298997369407
婊,牺牲,4,3.8508487820590136,1.9574766355140187,0.7911927670298065
亵渎,异端,4,3.807831396975324,1.955607476635514,0.7879303381766167
爱,门徒,4,3.807831396975324,1.955607476635514,0.7879303381766167
参加,心,3,3.7973600971080286,1.6932010698290147,0.7753554091644739
回到,见,3,3.7973600971080286,1.6932010698290147,0.7753554091644739
女人,男人,4,3.7973600971080286,1.9551401869158878,0.787135644026737
写,回到,3,3.717317389434494,1.689963591684026,0.7692958031532531
异端,念,7,3.6743000043508043,2.5786361242685594,0.8060838654093865
不到,社会,3,3.643209417280774,1.6867261135390377,0.7636746888476404
爱,父母,4,3.625509840181374,1.9467289719626168,0.7740600994993144
事,这件,5,3.608118097469505,2.175464265960076,0.7830620529110702
加尔文,圣灵,3,3.5966894016458824,1.6845677947757118,0.7601404614708056
十字架,钉,7,3.5837859968099752,2.5722778434141986,0.7991102283329872
岁,时,3,3.5742165457938246,1.683488635394049,0.7584315070056128
念,红领巾,3,3.5742165457938246,1.683488635394049,0.7584315070056128
两个,手上,4,3.5742165457938246,1.9439252336448598,0.770144168818953
小心,邪教,4,3.525426381624394,1.9411214953271028,0.7664131835055816
圣母,牺牲,4,3.525426381624394,1.9411214953271028,0.7664131835055816
地上,爱,3,3.5201493245235502,1.680790736939892,0.7543153829297524
大叔,爱,3,3.5201493245235502,1.680790736939892,0.7543153829297524
唯一,请,3,3.5096780246562553,1.6802511572490604,0.7535174376700405
